[ 00:00:01.864 -->  00:00:27.514] BC SPEAKER_02
[ 00:00:27.514 -->  00:00:59.155] AC SPEAKER_01
[ 00:00:49.992 -->  00:00:51.021] A SPEAKER_00
[ 00:00:59.155 -->  00:01:10.309] BD SPEAKER_02
[ 00:01:11.744 -->  00:01:32.685] B SPEAKER_00
[ 00:01:15.827 -->  00:01:16.317] BE SPEAKER_02
[ 00:01:24.265 -->  00:01:25.362] BF SPEAKER_02
[ 00:01:27.960 -->  00:01:28.467] BG SPEAKER_02
[ 00:01:34.795 -->  00:01:51.990] C SPEAKER_00
[ 00:01:35.284 -->  00:01:36.111] AD SPEAKER_01
[ 00:01:40.735 -->  00:01:40.988] BH SPEAKER_02
[ 00:01:47.333 -->  00:01:47.721] BI SPEAKER_02
[ 00:01:52.598 -->  00:02:07.397] BJ SPEAKER_02
[ 00:02:05.136 -->  00:02:05.507] D SPEAKER_00
[ 00:02:05.507 -->  00:02:05.592] AE SPEAKER_01
[ 00:02:07.397 -->  00:02:48.825] AF SPEAKER_01
[ 00:02:48.437 -->  00:02:48.623] E SPEAKER_00
[ 00:02:49.500 -->  00:03:16.197] F SPEAKER_00
[ 00:03:16.956 -->  00:03:40.446] G SPEAKER_00
[ 00:03:17.850 -->  00:03:18.104] BK SPEAKER_02
[ 00:03:40.446 -->  00:03:53.204] BL SPEAKER_02
[ 00:03:53.339 -->  00:04:12.795] AG SPEAKER_01
[ 00:04:11.682 -->  00:04:12.711] H SPEAKER_00
[ 00:04:14.213 -->  00:04:23.579] I SPEAKER_00
[ 00:04:24.962 -->  00:04:27.089] BM SPEAKER_02
[ 00:04:27.932 -->  00:04:44.200] BN SPEAKER_02
[ 00:04:34.598 -->  00:04:34.902] J SPEAKER_00
[ 00:04:45.094 -->  00:04:47.119] BO SPEAKER_02
[ 00:04:48.385 -->  00:05:02.003] BP SPEAKER_02
[ 00:05:02.003 -->  00:05:21.713] AH SPEAKER_01
[ 00:05:23.029 -->  00:05:36.985] K SPEAKER_00
[ 00:05:37.980 -->  00:05:44.984] L SPEAKER_00
[ 00:05:42.655 -->  00:05:42.756] BQ SPEAKER_02
[ 00:05:48.460 -->  00:06:08.254] M SPEAKER_00
[ 00:05:58.990 -->  00:05:59.159] AI SPEAKER_01
[ 00:06:00.880 -->  00:06:01.234] AJ SPEAKER_01
[ 00:06:08.254 -->  00:06:14.346] BR SPEAKER_02
[ 00:06:14.245 -->  00:06:48.805] AK SPEAKER_01
[ 00:06:48.805 -->  00:06:51.302] BS SPEAKER_02
[ 00:06:52.365 -->  00:06:53.378] BT SPEAKER_02
[ 00:06:54.525 -->  00:06:54.998] N SPEAKER_00
[ 00:06:56.432 -->  00:07:21.019] O SPEAKER_00
[ 00:07:21.019 -->  00:08:15.492] AL SPEAKER_01
[ 00:08:15.492 -->  00:08:30.443] BU SPEAKER_02
[ 00:08:30.443 -->  00:08:33.025] AM SPEAKER_01
[ 00:08:34.122 -->  00:08:43.504] AN SPEAKER_01
[ 00:08:42.998 -->  00:08:55.941] BV SPEAKER_02
[ 00:08:55.941 -->  00:09:11.939] AO SPEAKER_01
[ 00:09:11.939 -->  00:09:14.588] BW SPEAKER_02
[ 00:09:15.854 -->  00:09:49.857] AP SPEAKER_01
[ 00:09:49.857 -->  00:09:55.999] BX SPEAKER_02
[ 00:09:55.999 -->  00:10:01.787] P SPEAKER_00
[ 00:10:01.787 -->  00:10:13.988] AQ SPEAKER_01
[ 00:10:13.988 -->  00:10:15.422] BY SPEAKER_02
[ 00:10:15.051 -->  00:10:16.840] AR SPEAKER_01
[ 00:10:17.430 -->  00:10:22.965] BZ SPEAKER_02
[ 00:10:23.674 -->  00:10:45.173] AS SPEAKER_01
[ 00:10:45.477 -->  00:10:45.814] CA SPEAKER_02
[ 00:10:45.882 -->  00:11:06.469] AT SPEAKER_01
[ 00:11:03.449 -->  00:11:06.807] CB SPEAKER_02
[ 00:11:10.519 -->  00:11:14.687] CC SPEAKER_02
[ 00:11:12.409 -->  00:11:22.416] Q SPEAKER_00
[ 00:11:23.952 -->  00:11:37.722] R SPEAKER_00
[ 00:11:37.013 -->  00:11:59.440] AU SPEAKER_01
[ 00:11:59.440 -->  00:12:10.442] CD SPEAKER_02
[ 00:12:09.497 -->  00:12:09.632] S SPEAKER_00
[ 00:12:10.442 -->  00:12:10.830] T SPEAKER_00
[ 00:12:11.455 -->  00:12:13.159] U SPEAKER_00
[ 00:12:14.492 -->  00:12:59.954] V SPEAKER_00
[ 00:12:36.750 -->  00:12:36.784] CE SPEAKER_02
[ 00:12:42.944 -->  00:12:43.467] CF SPEAKER_02
[ 00:12:48.462 -->  00:12:49.339] AV SPEAKER_01
[ 00:12:58.452 -->  00:13:22.448] CG SPEAKER_02
[ 00:13:22.448 -->  00:13:47.355] AW SPEAKER_01
[ 00:13:47.355 -->  00:14:10.272] W SPEAKER_00
[ 00:13:55.624 -->  00:13:56.198] AX SPEAKER_01
[ 00:14:14.490 -->  00:14:27.484] X SPEAKER_00
[ 00:14:17.882 -->  00:14:18.929] AY SPEAKER_01
[ 00:14:29.087 -->  00:14:30.927] Y SPEAKER_00
[ 00:14:31.669 -->  00:14:40.731] Z SPEAKER_00
[ 00:14:40.934 -->  00:14:52.965] CH SPEAKER_02
[ 00:14:53.826 -->  00:14:56.442] CI SPEAKER_02
[ 00:14:56.442 -->  00:15:13.755] AZ SPEAKER_01
[ 00:15:02.213 -->  00:15:02.314] AA SPEAKER_00
[ 00:15:15.207 -->  00:15:15.274] CJ SPEAKER_02
[ 00:15:15.966 -->  00:15:23.610] CK SPEAKER_02
[ 00:15:24.505 -->  00:15:26.766] CL SPEAKER_02
[ 00:15:26.462 -->  00:15:26.496] BA SPEAKER_01
[ 00:15:27.525 -->  00:15:33.972] CM SPEAKER_02
[ 00:15:34.984 -->  00:15:37.735] CN SPEAKER_02
[ 00:15:38.714 -->  00:15:39.439] CO SPEAKER_02
[ 00:15:39.439 -->  00:15:43.034] BB SPEAKER_01
[ 00:15:41.886 -->  00:15:47.505] CP SPEAKER_02
[ 00:15:47.505 -->  00:15:50.509] AB SPEAKER_00
[ 00:15:49.412 -->  00:15:49.851] CQ SPEAKER_02
[ 00:15:51.589 -->  00:15:52.163] CR SPEAKER_02
