[ 00:00:01.544 -->  00:00:17.676] A SPEAKER_00
[ 00:00:01.594 -->  00:00:02.235] AN SPEAKER_01
[ 00:00:03.349 -->  00:00:03.636] AO SPEAKER_01
[ 00:00:18.739 -->  00:00:20.984] B SPEAKER_00
[ 00:00:18.891 -->  00:00:19.009] AP SPEAKER_01
[ 00:00:25.455 -->  00:00:33.167] C SPEAKER_00
[ 00:00:29.674 -->  00:00:29.725] AQ SPEAKER_01
[ 00:00:35.260 -->  00:01:03.492] AR SPEAKER_01
[ 00:00:59.965 -->  00:01:00.167] D SPEAKER_00
[ 00:01:05.955 -->  00:01:25.682] AS SPEAKER_01
[ 00:01:07.727 -->  00:01:08.250] BK SPEAKER_02
[ 00:01:25.682 -->  00:02:16.341] BL SPEAKER_02
[ 00:01:54.252 -->  00:01:54.269] E SPEAKER_00
[ 00:02:16.341 -->  00:02:43.004] AT SPEAKER_01
[ 00:02:42.447 -->  00:03:00.435] BM SPEAKER_02
[ 00:02:56.520 -->  00:02:57.162] F SPEAKER_00
[ 00:03:00.435 -->  00:03:06.578] G SPEAKER_00
[ 00:03:10.949 -->  00:03:30.743] H SPEAKER_00
[ 00:03:15.117 -->  00:03:16.382] AU SPEAKER_01
[ 00:03:15.809 -->  00:03:15.859] BN SPEAKER_02
[ 00:03:27.840 -->  00:03:28.178] AV SPEAKER_01
[ 00:03:33.949 -->  00:03:37.982] I SPEAKER_00
[ 00:03:41.526 -->  00:03:44.985] J SPEAKER_00
[ 00:03:46.487 -->  00:03:46.859] K SPEAKER_00
[ 00:03:47.955 -->  00:03:48.529] L SPEAKER_00
[ 00:03:48.833 -->  00:04:10.905] BO SPEAKER_02
[ 00:04:12.374 -->  00:04:51.405] AW SPEAKER_01
[ 00:04:19.478 -->  00:04:19.664] BP SPEAKER_02
[ 00:04:51.405 -->  00:05:11.369] BQ SPEAKER_02
[ 00:05:10.424 -->  00:05:57.488] M SPEAKER_00
[ 00:05:17.832 -->  00:05:19.232] BR SPEAKER_02
[ 00:05:29.408 -->  00:05:30.437] BS SPEAKER_02
[ 00:05:30.437 -->  00:05:31.095] AX SPEAKER_01
[ 00:05:49.742 -->  00:05:50.232] AY SPEAKER_01
[ 00:05:59.952 -->  00:06:03.985] N SPEAKER_00
[ 00:06:09.452 -->  00:06:38.309] AZ SPEAKER_01
[ 00:06:38.309 -->  00:06:53.800] BT SPEAKER_02
[ 00:06:54.239 -->  00:06:57.495] O SPEAKER_00
[ 00:06:54.559 -->  00:06:54.593] BU SPEAKER_02
[ 00:07:03.959 -->  00:07:38.012] P SPEAKER_00
[ 00:07:31.836 -->  00:07:31.988] BV SPEAKER_02
[ 00:07:43.952 -->  00:07:49.994] Q SPEAKER_00
[ 00:07:49.994 -->  00:07:54.111] BW SPEAKER_02
[ 00:07:53.892 -->  00:08:30.494] BA SPEAKER_01
[ 00:08:30.494 -->  00:08:36.501] BX SPEAKER_02
[ 00:08:37.227 -->  00:08:56.363] BY SPEAKER_02
[ 00:08:46.997 -->  00:08:48.347] R SPEAKER_00
