[ 00:00:00.497 -->  00:00:00.649] A SPEAKER_00
[ 00:00:01.020 -->  00:00:01.459] EJ SPEAKER_01
[ 00:00:01.459 -->  00:00:01.476] B SPEAKER_00
[ 00:00:02.843 -->  00:00:19.515] C SPEAKER_00
[ 00:00:21.304 -->  00:00:31.497] D SPEAKER_00
[ 00:00:32.205 -->  00:01:11.457] E SPEAKER_00
[ 00:01:12.267 -->  00:01:15.996] GR SPEAKER_04
[ 00:01:15.996 -->  00:01:20.282] F SPEAKER_00
[ 00:01:22.155 -->  00:01:30.964] G SPEAKER_00
[ 00:01:33.462 -->  00:01:39.874] H SPEAKER_00
[ 00:01:41.477 -->  00:01:54.083] I SPEAKER_00
[ 00:01:56.884 -->  00:01:57.407] J SPEAKER_00
[ 00:01:57.424 -->  00:02:00.360] FU SPEAKER_03
[ 00:02:00.867 -->  00:02:11.835] KF SPEAKER_07
[ 00:02:13.371 -->  00:02:13.979] KG SPEAKER_07
[ 00:02:14.772 -->  00:02:16.493] KH SPEAKER_07
[ 00:02:18.602 -->  00:02:26.550] K SPEAKER_00
[ 00:02:28.829 -->  00:02:30.364] JM SPEAKER_06
[ 00:02:28.862 -->  00:02:28.947] L SPEAKER_00
[ 00:02:28.947 -->  00:02:29.942] EK SPEAKER_01
[ 00:02:29.504 -->  00:02:30.567] FJ SPEAKER_02
[ 00:02:31.377 -->  00:02:33.992] FK SPEAKER_02
[ 00:02:33.992 -->  00:02:34.279] M SPEAKER_00
[ 00:02:35.022 -->  00:02:39.679] FV SPEAKER_03
[ 00:02:39.679 -->  00:02:39.696] N SPEAKER_00
[ 00:02:42.396 -->  00:02:43.122] O SPEAKER_00
[ 00:02:44.590 -->  00:02:47.138] P SPEAKER_00
[ 00:02:50.074 -->  00:03:00.537] Q SPEAKER_00
[ 00:03:00.840 -->  00:03:03.169] KI SPEAKER_07
[ 00:03:04.148 -->  00:03:06.764] R SPEAKER_00
[ 00:03:08.991 -->  00:03:23.436] S SPEAKER_00
[ 00:03:24.229 -->  00:03:26.575] T SPEAKER_00
[ 00:03:27.705 -->  00:03:32.700] U SPEAKER_00
[ 00:03:33.291 -->  00:03:46.555] V SPEAKER_00
[ 00:03:47.787 -->  00:03:54.030] W SPEAKER_00
[ 00:03:55.482 -->  00:04:00.679] X SPEAKER_00
[ 00:04:02.434 -->  00:04:08.374] GS SPEAKER_04
[ 00:04:09.640 -->  00:04:09.944] GT SPEAKER_04
[ 00:04:09.944 -->  00:04:11.192] Y SPEAKER_00
[ 00:04:11.918 -->  00:04:23.579] Z SPEAKER_00
[ 00:04:24.473 -->  00:04:25.215] AA SPEAKER_00
[ 00:04:27.274 -->  00:04:34.176] AB SPEAKER_00
[ 00:04:35.779 -->  00:05:11.487] AC SPEAKER_00
[ 00:05:12.516 -->  00:05:48.662] AD SPEAKER_00
[ 00:05:50.316 -->  00:06:04.356] GU SPEAKER_04
[ 00:06:05.385 -->  00:06:12.861] GV SPEAKER_04
[ 00:06:13.907 -->  00:06:20.421] GW SPEAKER_04
[ 00:06:20.421 -->  00:06:42.510] AE SPEAKER_00
[ 00:06:42.949 -->  00:06:45.447] GX SPEAKER_04
[ 00:06:46.054 -->  00:07:02.862] AF SPEAKER_00
[ 00:07:03.959 -->  00:07:06.895] AG SPEAKER_00
[ 00:07:06.895 -->  00:07:14.202] FL SPEAKER_02
[ 00:07:16.851 -->  00:07:43.193] FM SPEAKER_02
[ 00:07:44.324 -->  00:08:44.534] FN SPEAKER_02
[ 00:08:45.124 -->  00:09:00.480] FO SPEAKER_02
[ 00:08:58.506 -->  00:08:58.776] EL SPEAKER_01
[ 00:09:04.463 -->  00:09:07.500] JN SPEAKER_06
[ 00:09:04.919 -->  00:09:08.007] EM SPEAKER_01
[ 00:09:07.500 -->  00:09:08.142] FW SPEAKER_03
